# EXPERIMENT E1 -- first qualifying FVG at/after the displacement candle. Pooled foldSel=ALL.
# Source: p15/exec_arms/V53_EXEC_P15_E1_fvg_association.pine
#   sha256 686850a48eb9c2f8515acbbb5ccc4b6145a39eb91dacf7e2fcdd4e7ad1eec04d
#   derived from p15/executed/V53_EXECUTED_BUILD.pine (sha256 2dafbafd...), +7/-4 lines, 2 hunks.
#   Output layer byte-identical to the executed baseline (verified).
# Injected via pine_set_source (605 lines) + pine_smart_compile; pineVersion 139.0 -> 140.0.
# Pre-injection checks: C1 residue aA = 0; D1 residue = 0 (the qV BOS fallback is present, so the
#   frozen BOS reference rule is restored). All frozen inputs verified after compile, in_7 = 12.
#
# dispWait SCAN BOUND -- PRESERVED, NOT NORMALIZED.
#   E1's forward scan is bounded by the existing frozen dispWait = 12 chart bars measured from the
#   sweep bar. No new parameter is introduced and no compensation is applied. A state-4 sequence
#   now persists while scanning and is invalidated only once bar_index - swB > dispWait with no
#   qualifying gap. That this changes which displacement sequence is scanned within the 12-bar
#   bound is part of E1's mechanical consequence and is left intact.
#
# ASSERT column reports A21-A27,A32 verbatim. Pre-registered E1 expectation: A24 is evaluated only
# on the first scan bar, where it retains its original meaning, and must still read 0. All other
# assertions must read 0. No E1 diagnostic is expected to fire.
MNQ L 1m ALL | bars 19200 | cov 18644 | sw 952 | ch 829 | rt 762 | bos 33 | fvg 29 | fill 16 | W0 Ls13 TO3 | Rpre -16 | Rpost -16.366 | avg -1.0229 | med -1.0209 | mcL 16 | ddR 16.366 | ddU 2501.52 | usd -2501.52 | ASSERT 0/0/0/0/0/0/0/0 | noFVGinvalid 4
MNQ1!|L|1m|ALL|sw 2026-06-02 13:45|SW|swX 30495.75|ch 2026-06-02 13:58|chL 30583.75|rt 2026-06-02 13:59|bos 2026-06-02 14:00|bosL 30567.5|fvg 30590-30593.5|en 2026-06-02 14:20|enPx 30590|stop 30488.9312|LOSS|-1.015R|$-205.14|timeout|144bars
MNQ1!|L|1m|ALL|sw 2026-06-23 10:40|SW|swX 29750.5|ch 2026-06-23 10:57|chL 29812.75|rt 2026-06-23 10:58|bos 2026-06-23 11:20|bosL 29852|fvg 29813.75-29821.5|en 2026-06-23 11:35|enPx 29813.75|stop 29743.0758|LOSS|-1.021R|$-144.35|stop|11bars
MNQ1!|L|1m|ALL|sw 2026-06-25 11:30|SW|swX 30099|ch 2026-06-25 12:04|chL 30140.5|rt 2026-06-25 12:13|bos 2026-06-25 12:30|bosL 30145.75|fvg 30140.25-30204.75|en 2026-06-25 13:15|enPx 30140.25|stop 30094.4432|LOSS|-1.033R|$-94.61|stop|3bars
MNQ1!|L|1m|ALL|sw 2026-06-30 20:15|SW|swX 30495.25|ch 2026-06-30 20:30|chL 30508|rt 2026-06-30 20:31|bos 2026-06-30 22:00|bosL 30497.75|fvg 30518-30520|en 2026-06-30 22:10|enPx 30518|stop 30489.6271|LOSS|-1.053R|$-59.75|stop|36bars
MNQ1!|L|1m|ALL|sw 2026-07-05 22:10|SW|swX 29875.5|ch 2026-07-05 22:20|chL 29923.5|rt 2026-07-05 22:21|bos 2026-07-05 23:12|bosL 29961|fvg 29937.75-29982|en 2026-07-06 00:00|enPx 29937.75|stop 29870.877|LOSS|-1.022R|$-136.75|stop|6bars
MNQ1!|L|1m|ALL|sw 2026-07-16 12:30|PD|swX 29386.75|ch 2026-07-16 12:52|chL 29401.25|rt 2026-07-16 12:55|bos 2026-07-16 13:30|bosL 29488.5|fvg 29471.5-29478.5|en 2026-07-16 13:35|enPx 29471.5|stop 29379.1022|LOSS|-1.016R|$-187.8|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-07-16 12:50|PD|swX 29383.5|ch 2026-07-16 13:07|chL 29437.25|rt 2026-07-16 13:08|bos 2026-07-16 13:30|bosL 29488.5|fvg 29471.5-29478.5|en 2026-07-16 13:35|enPx 29471.5|stop 29375.9721|LOSS|-1.016R|$-194.06|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-07-17 20:00|AS|swX 28712.5|ch 2026-07-17 20:20|chL 28748.75|rt 2026-07-17 20:21|bos 2026-07-19 22:00|bosL 28770.75|fvg 28779-28791.5|en 2026-07-19 22:05|enPx 28779|stop 28701.9267|LOSS|-1.019R|$-157.15|timeout|144bars
MNQ1!|L|1m|ALL|sw 2026-07-17 20:10|AS|swX 28716|ch 2026-07-17 20:30|chL 28754.75|rt 2026-07-17 20:32|bos 2026-07-19 22:00|bosL 28770.75|fvg 28779-28791.5|en 2026-07-19 22:05|enPx 28779|stop 28706.097|LOSS|-1.021R|$-148.81|timeout|144bars
MNQ1!|L|1m|ALL|sw 2026-07-29 17:30|AS|swX 27629.25|ch 2026-07-29 17:49|chL 27690.5|rt 2026-07-29 17:56|bos 2026-07-29 18:00|bosL 27728|fvg 27727.25-27808.25|en 2026-07-29 18:30|enPx 27727.25|stop 27617.7288|LOSS|-1.014R|$-222.04|stop|12bars
MNQ1!|L|1m|ALL|sw 2026-07-29 17:00|PD+AS|swX 27595|ch 2026-07-29 17:21|chL 27740|rt 2026-07-29 17:22|bos 2026-07-29 18:00|bosL 27728|fvg 27727.25-27808.25|en 2026-07-29 18:30|enPx 27727.25|stop 27583.2054|LOSS|-1.01R|$-291.09|stop|12bars
MNQ1!|L|1m|ALL|sw 2026-07-29 17:05|AS|swX 27634.25|ch 2026-07-29 17:21|chL 27740|rt 2026-07-29 17:22|bos 2026-07-29 18:00|bosL 27728|fvg 27727.25-27808.25|en 2026-07-29 18:30|enPx 27727.25|stop 27622.8943|LOSS|-1.014R|$-211.71|stop|12bars
